一级,二级,工具介绍,使用依赖,其他
1. 入驻建档,机构信息,机构档案管理系统，包含5个Tab：①基础信息（机构全称/简称、电话/邮箱、地址、官网、人数-全职/兼职/志愿者、机构简介、联系人列表-法定代表人/秘书长/募资负责人等）②资质信息（社会组织法人登记证书、慈善组织公开募捐资格证书、机构公章、社会组织评估等级、公益性捐赠税前扣除信息-开票周期、法人身份证）③机构信息公开（年度工作报告PDF、年度财务报告PDF按年归档）④C端主页信息（机构头像/简介、轮播图-图片/视频+跳转链接、推荐项目列表、基本信息展示、机构证书展示、管理团队展示）⑤审核历史（修改历史表格+时间轴视图）,机构完成入驻审核；超级管理员权限；变更敏感信息需重新审核,截图已验证｜复用建议：⚠️字段需重新设计适配关爱号，资质类字段对关爱平台无公募场景不适用，C端主页展示框架可参考但需简化
1. 入驻建档,机构设置,账号与权限管理：添加/删除成员、分配角色、设置操作权限、消息通知订阅、安全设置,超级管理员权限；成员需通过企业微信/微信认证,
1. 入驻建档,合同中心,管理机构与平台签署的各类协议：入驻协议、项目合作协议、资金托管协议等，支持在线签署、查看、下载,机构入驻后自动生成基础协议；发起项目/活动时触发补充协议；需管理员或法务角色,
1. 入驻建档,机构运营,机构运营能力集合：申请平台运营位/资源位、参与培训/赋能活动、申报行业资助计划、内容/社群运营工具入口,机构入驻完成；部分能力需单独申请开通；资源位需排期/审核,
2. 立项/发起,项目管理,项目全生命周期管理系统。【列表】3类项目Tab（自有/认领/专项基金）+预警看板+多维筛选+导出；【创建】4步表单流程+AI辅助优化工具；【详情】4个Tab（基础信息/反馈人/项目进展/审核历史）；【子计划】支持主项目-子计划层级关联。核心能力：项目分类（教育助学/乡村振兴/医疗救助/灾害救援/自然保护/关怀倡导）、受助对象管理、项目状态流转（未上线→筹款中→暂停→结束→结项）、审核驳回机制,机构认证通过；项目材料齐备；非公募需公募机构认领；通过平台审核,截图已验证｜复用建议：✅列表/详情/子计划框架可复用 ✅AI辅助优化思路可借鉴 ✅审核历史机制可参考 ⚠️字段需简化适配关爱平台撮合型项目 ❌公募/认领/筹款逻辑不适用
2. 立项/发起,审核管理,机构侧审核工作台：查看/处理待审核事项（项目上线、信息变更、专项基金、帮扶对象、一起捐、透明度披露等）,机构已入驻；具备对应审核角色权限；存在待审核对象,
3. 拓流/动员,一起捐管理,社交化组队筹款工具：创建一起捐活动、管理参与小队/个人、查看筹款进度、排行榜、传播数据,已有上线项目；项目支持一起捐玩法；依赖微信社交传播,
3. 拓流/动员,小红花码,线下场景公益参与入口：生成带项目/活动信息的二维码，用户扫码可参与捐赠/领取小红花，支持统计扫码数据,已有上线项目/活动；配置扫码落地页；线下物料制作与投放,
3. 拓流/动员,海报工具,简单的图文组合工具：选择预设尺寸模板（1:1方图/1:2.5竖版长图/竖版A4/横版A4/2.36:1横版宽图/上图下文2:1/左图右文2:1等），填写头部文案、底部规则文案，上传活动图片、机构LOGO，配置推广小程序码（项目ID/月捐项目ID/一起捐ID），自动合成海报用于传播。模板本质是不同尺寸比例的排版布局,已有上线项目；项目ID/月捐项目ID/一起捐ID,截图已验证
3. 拓流/动员,分分捐,微信支付场景小额捐赠工具：用户支付后可选择"凑整捐"，形成持续小额捐赠流,机构/项目被纳入分分捐承接池；依赖微信支付场景入口；平台统一配置,
3. 拓流/动员,群发短信,批量触达捐赠人/参与者：选择发送对象、选择/编辑短信模板、发送运营通知/进展同步/活动召回，查看发送统计,有捐赠人/参与者数据；用户授权接收短信；短信配额；模板需审核,
4. 执行/履约,参与者管理,项目参与者数据管理：查看/导出捐赠人列表、志愿者列表、一起捐小队成员、活动报名者等，支持筛选/分组/标签,项目/活动产生参与数据；部分数据需用户授权；导出需权限,
4. 执行/履约,捐赠人服务,捐赠人关系维护工具：捐赠人档案、分层管理（大额/月捐/普通）、爱心回礼配置、感谢信/证书发送、专属沟通,有捐赠人数据；部分功能需用户授权；回礼需物流/成本,
4. 执行/履约,爱心券,数字化救助券工具：创建券活动、录入受助人名单、录入合作商家、发放券、受助人刷脸领取、商家扫码核销、资金自动结算,有资金/资源来源；录入受助人信息；签约合作商家；配置核销规则,
4. 执行/履约,活动报名,线上/线下活动报名管理：创建报名活动、收集报名信息、审核报名者、发送通知、现场签到、导出名单,创建活动；配置报名表单；可选：短信/微信通知、签到码,
4. 执行/履约,数字化执行工具,项目执行过程数字化工具集：执行日志记录、受益人签收确认、物资发放登记、现场照片/定位采集、执行进度跟踪,项目进入执行期；执行人员使用小程序/App；可能需要定位/拍照权限,
4. 执行/履约,数字工具箱,公益机构数字化能力超市：展示平台提供的各类数字工具（电子签章、云存储、协作文档等），机构可申请开通/领取权益,机构入驻；按工具单独申请；部分工具有配额/有效期,
4. 执行/履约,更多功能,新能力/实验功能聚合入口：承载平台灰度测试的新工具、合作伙伴提供的外部能力、临时性活动工具等,视具体功能而定,
5. 透明/披露,项目透明度,项目信息披露管理：按平台规则定期提交项目进展、资金使用明细、受益人故事、结项报告等，披露内容公开展示在项目页,项目上线；按规则定期提交；披露内容需审核；影响项目信任评级/活动准入,
6. 对账/结算,活动对账,资金对账与结算管理：查看活动/项目资金流水、核对账单明细、申请结算/提现、下载对账单/流水明细,产生资金流水；配置结算账户；财务角色权限；满足结算条件,
6. 对账/结算,捐赠票据配置,捐赠发票/收据服务配置：设置机构开票信息、票据类型、开票规则、票据说明文案、处理联系方式,机构具备开票资质；配置开票信息；捐赠人发起申请后处理,
6. 对账/结算,导出任务列表,数据导出任务管理：发起数据导出、查看导出进度、下载导出文件、管理历史导出记录,有可导出数据；具备导出权限；大数据量走异步任务,
7. 复盘/沉淀,机构数据,机构维度数据看板：机构整体筹款金额/笔数、项目数量/状态分布、捐赠人数/复捐率、传播数据等,机构有业务数据；数据查看权限,
7. 复盘/沉淀,项目数据,项目维度数据看板：单项目筹款进度、捐赠人分布、传播渠道效果、执行进度、披露完成度等,项目上线并产生数据,
7. 复盘/沉淀,产品数据,工具/产品使用数据：各工具的使用次数、效果转化、功能渗透率等,使用过对应工具,
7. 复盘/沉淀,活动数据,活动维度数据看板：参与的平台活动（如99公益日）数据、机构自办活动数据、一起捐活动数据等,参与/发起活动,
7. 复盘/沉淀,全年行业资助,行业资助计划数据：查看平台年度资助计划、机构申报记录、资助结果、资助金额使用情况等,机构参与资助计划；按规则申报,
